Date,Account Type,Spent,Firm,Account Type,Home/Work,Strategy used,Instruments,Live?,Account #,Payout 1,Payout 2,Payout 3,Payout 4,Payout 5,Payout 6,Payout 7 ,Payout 8,Payout 9 ,Payout 10 ,Total Payouts,% Gain,,,,,,,,,\
1/1/2025,10K,$100.00,Breakout,2 Phase,,5,Crypto,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
1/5/2025,25K,$250.00,Breakout,2 Phase,,5,Crypto,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
1/6/2025,25K,$250.00,Breakout,2 Phase,,5,Crypto,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
1/10/2025,20K,$88.00,Maven,2 Phase,,7,NAS,Yes,655836,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
1/27/2025,50K,$220.00,Maven,2 Phase,,1,NAS,Yes,Got screwed,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
2/3/2025,20K,$88.00,Maven ,2 Phase,,1,NAS,No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
2/6/2025,5K,$22.00,Maven ,2 Phase,,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
2/13/2025,20K,$88.00,Maven,2 Phase,,1,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
2/21/2025,20K,$88.00,Maven,2 Phase,Work,7,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
2/21/2025,20K,$88.00,Maven,2 Phase,Home,7,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
2/21/2025,20K,$88.00,Maven,2 Phase,Home,7,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
2/21/2025,20K,$88.00,Maven,2 Phase,Home,7,"NAS,XAUUSD",No,,$0.00,,,,,,,,,,$0.00,-100%,,,,,,,,,
